form	records	municipality_id	elections
Vilniaus rajono	830	vilniaus-rajono	1997-kovo-23-savivaldybiu-tarybu,2000-kovo-19-savivaldybiu-tarybu,2002-gruodzio-22-savivaldybiu-tarybu,2019-kovo-3-savivaldybiu-tarybu,2023-kovo-5-savivaldybiu-tarybu-ir-meru
Vilniaus rajono savivaldybė	593	vilniaus-rajono	2007-vasario-25-savivaldybiu,2011-vasario-27-savivaldybiu,2015-kovo-1-savivaldybiu
Visagino	527	visagino	2019-kovo-3-savivaldybiu-tarybu,2023-kovo-5-savivaldybiu-tarybu-ir-meru
Visagino (59)	2	visagino	2023-geguzes-7-visagino-mero
Visagino miesto	439	visagino	1997-kovo-23-savivaldybiu-tarybu,2000-kovo-19-savivaldybiu-tarybu,2002-gruodzio-22-savivaldybiu-tarybu
Visagino savivaldybė	988	visagino	2007-vasario-25-savivaldybiu,2011-vasario-27-savivaldybiu,2015-kovo-1-savivaldybiu
Zarasų rajono	912	zarasu-rajono	1997-kovo-23-savivaldybiu-tarybu,2000-kovo-19-savivaldybiu-tarybu,2002-gruodzio-22-savivaldybiu-tarybu,2019-kovo-3-savivaldybiu-tarybu,2023-kovo-5-savivaldybiu-tarybu-ir-meru
Zarasų rajono savivaldybė	758	zarasu-rajono	2007-vasario-25-savivaldybiu,2011-vasario-27-savivaldybiu,2015-kovo-1-savivaldybiu
Šakių rajono	675	sakiu-rajono	1997-kovo-23-savivaldybiu-tarybu,2000-kovo-19-savivaldybiu-tarybu,2002-gruodzio-22-savivaldybiu-tarybu,2019-kovo-3-savivaldybiu-tarybu,2023-kovo-5-savivaldybiu-tarybu-ir-meru
Šakių rajono (42)	5	sakiu-rajono	2017-balandzio-23-meru
Šakių rajono savivaldybė	540	sakiu-rajono	2007-vasario-25-savivaldybiu,2011-vasario-27-savivaldybiu,2015-kovo-1-savivaldybiu
Šalčininkų rajono	527	salcininku-rajono	1997-kovo-23-savivaldybiu-tarybu,2000-kovo-19-savivaldybiu-tarybu,2002-gruodzio-22-savivaldybiu-tarybu,2019-kovo-3-savivaldybiu-tarybu,2023-kovo-5-savivaldybiu-tarybu-ir-meru
Šalčininkų rajono savivaldybė	479	salcininku-rajono	2007-vasario-25-savivaldybiu,2011-vasario-27-savivaldybiu,2015-kovo-1-savivaldybiu
Šiaulių miesto	1400	siauliu-miesto	1997-kovo-23-savivaldybiu-tarybu,2000-kovo-19-savivaldybiu-tarybu,2002-gruodzio-22-savivaldybiu-tarybu,2019-kovo-3-savivaldybiu-tarybu,2023-kovo-5-savivaldybiu-tarybu-ir-meru
Šiaulių miesto savivaldybė	1265	siauliu-miesto	2007-vasario-25-savivaldybiu,2011-vasario-27-savivaldybiu,2015-kovo-1-savivaldybiu
Šiaulių rajono	773	siauliu-rajono	1997-kovo-23-savivaldybiu-tarybu,2000-kovo-19-savivaldybiu-tarybu,2002-gruodzio-22-savivaldybiu-tarybu,2019-kovo-3-savivaldybiu-tarybu,2023-kovo-5-savivaldybiu-tarybu-ir-meru
Šiaulių rajono savivaldybė	698	siauliu-rajono	2007-vasario-25-savivaldybiu,2011-vasario-27-savivaldybiu,2015-kovo-1-savivaldybiu
Šilalės rajono	1090	silales-rajono	1997-kovo-23-savivaldybiu-tarybu,2000-kovo-19-savivaldybiu-tarybu,2002-gruodzio-22-savivaldybiu-tarybu,2019-kovo-3-savivaldybiu-tarybu,2023-kovo-5-savivaldybiu-tarybu-ir-meru
Šilalės rajono savivaldybė	943	silales-rajono	2007-vasario-25-savivaldybiu,2011-vasario-27-savivaldybiu,2015-kovo-1-savivaldybiu
Šilutės rajono	1131	silutes-rajono	1997-kovo-23-savivaldybiu-tarybu,2000-kovo-19-savivaldybiu-tarybu,2002-gruodzio-22-savivaldybiu-tarybu,2019-kovo-3-savivaldybiu-tarybu,2023-kovo-5-savivaldybiu-tarybu-ir-meru
Šilutės rajono savivaldybė	1207	silutes-rajono	2007-vasario-25-savivaldybiu,2011-vasario-27-savivaldybiu,2015-birzelio-21-pakartotiniai-silutes,2015-kovo-1-savivaldybiu
Širvintų rajono	624	sirvintu-rajono	1997-kovo-23-savivaldybiu-tarybu,2000-kovo-19-savivaldybiu-tarybu,2002-gruodzio-22-savivaldybiu-tarybu,2019-kovo-3-savivaldybiu-tarybu,2023-kovo-5-savivaldybiu-tarybu-ir-meru
Širvintų rajono savivaldybė	635	sirvintu-rajono	2007-vasario-25-savivaldybiu,2011-vasario-27-savivaldybiu,2015-birzelio-7-pakartotiniai-sirvintos-trakai,2015-kovo-1-savivaldybiu
Švenčionių rajono	910	svencioniu-rajono	1997-birzelio-29-svenciniu-tarybos-pakartotiniai,1997-kovo-23-savivaldybiu-tarybu,2000-kovo-19-savivaldybiu-tarybu,2002-gruodzio-22-savivaldybiu-tarybu,2019-kovo-3-savivaldybiu-tarybu,2023-kovo-5-savivaldybiu-tarybu-ir-meru
Švenčionių rajono savivaldybė	776	svencioniu-rajono	2007-vasario-25-savivaldybiu,2011-vasario-27-savivaldybiu,2015-kovo-1-savivaldybiu
